0        1        2        3        4        5        6        7
76543210 76543210 76543210 76543210 76543210 76543210 76543210 76543210
-----------------------------------------------------------------------  
11000001 11000000 00011000 11101100 00111000 10010111 11101110 00110111
11000001 11000010 00011100 11101100 00111000 10010111 10101100 00010111
11000001 11000100 00011100 11101100 00111000 10010111 10101110 00110111
01000001 11000110 00011000 11101100 00111001 10000111 11110100 00010111
01000001 10110000 00011000 11101100 00111001 10001111 11110110 00110111
01000001 10110010 00011100 11101100 00111001 10001111 10110100 00010111
01000001 10110100 00011100 11101100 00111001 10001111 10110110 00110111
11000001 10110110 00011000 11101100 00111001 10001111 11111100 00010111
11000001 10110000 00011000 11101100 00111001 10000111 11111110 00110111
11000001 10110010 00011100 11101100 00111001 10000111 10111100 00010111
11000001 10110100 00011100 11101100 00111001 10000111 10111110 00110111
11000001 10110110 00011000 11101100 00111001 10000111 10100100 00110111
01000011 10100000 01011000 11101100 00111000 10111111 11100110 00010111
01000011 10100010 01011100 11101100 00111000 10111111 11100100 00110111
01000011 10100100 01011100 11101100 00111000 10111111 10100110 00010111
01000011 10100110 01011000 11101100 00111000 10111111 10101100 00110111
11000011 10100000 01011000 11101100 00111000 10110111 11101110 00010111
11000011 10100010 01011100 11101100 00111000 10110111 11101100 00110111
11000011 10100100 01011100 11101100 00111000 10110111 10101110 00010111
11000011 10100110 01011000 11101100 00111000 10110111 10110100 00110111
01000011 10010000 01011000 11101100 00111001 10101111 11110110 00010111
01000011 10010010 01011100 11101100 00111001 10101111 11110100 00110111
01000011 10010100 01011100 11101100 00111001 10101111 10110110 00010111
01000011 10010110 01011000 11101100 00111001 10101111 10111100 00110111
11000011 10010000 01011000 11101100 00111001 10100111 11111110 00010111
11000011 10010010 01011100 11101100 00111001 10100111 11111100 00110111
11000011 10010100 01011100 11101100 00111001 10100111 10111110 00010111
11000011 10010110 01011000 11101100 00111001 10100111 10100100 00010111
11000011 10000000 01011000 11101100 00111001 10101111 10100110 00110111
01000001 10000010 01011100 11101100 00111000 10011111 11100000 00010111
01000001 10000100 01011100 11101100 00111000 10011111 11100010 00110111
01000001 10000110 01011000 11101100 00111000 10011111 10101000 00010111
01000001 10000000 01011000 11101100 00111000 10010111 10101010 00110111
11000001 10000010 01011100 11101100 00111000 10010111 11101000 00010111
11000001 10000100 01011100 11101100 00111000 10010111 11101010 00110111
11000001 10000110 01011000 11101100 00111000 10010111 10110000 00010111
11000001 11110000 01011001 11101100 00111010 10011011 00110010 00110111
01000001 11110010 01011101 11101100 00111011 10001011 01110000 00010111
01000001 11110100 01011101 11101100 00111011 10001011 01110010 00110111
01000001 11110110 01011001 11101100 00111011 10001011 00111000 00010111
01000001 11110000 01011001 11101100 00111011 10000011 00111010 00110111
11000001 11110010 01011101 11101100 00111011 10000011 01111000 00010111
11000001 11110100 01011101 11101100 00111011 10000011 01111010 00110111
11000001 11110110 01011001 11101100 00111011 10000011 01100000 00110111
11000001 11100000 01011001 11101100 00111011 10001011 00100010 00010111
11000001 11100010 01011101 11101100 00111011 10001011 00100000 00110111
01000011 11100100 00011101 11101100 10111010 10111011 01100001 00010111  <------ 61
01000011 11100110 00011101 11101100 10111010 10111011 01100011 00110111
01000011 11100000 00011001 11101100 10111010 10110011 00101001 00010111
01000011 11100010 00011001 11101100 10111010 10110011 00101011 00110111
11000011 11100100 00011101 11101100 10111010 10110011 01101001 00010111
11000011 11100110 00011101 11101100 10111010 10110011 01101011 00110111
11000011 11010000 00011001 11101100 10111010 10111011 00110001 00010111
11000011 11010010 00011001 11101100 10111010 10111011 00110011 00110111
01000011 11010100 00011101 11101100 10111011 10101011 01110001 00010111
01000011 11010110 00011101 11101100 10111011 10101011 01110011 00110111
01000011 11010000 00011001 11101100 10111011 10100011 00111001 00010111
01000011 11010010 00011001 11101100 10111011 10100011 00111011 00110111
11000011 11010100 00011101 11101100 10111011 10100011 01111001 00010111
11000011 11010110 00011101 11101100 10111011 10100011 01111011 00110111
11000011 11000000 00011001 11101100 10111011 10101011 01100001 00110111
11000011 11000010 00011001 11101100 10111011 10101011 00100011 00010111
11000011 11000100 00011101 11101100 10111011 10101011 00100001 00110111
01000001 11000110 00011101 11101100 10111010 10101011 01100111 00011111
01000001 11000000 00011001 11101100 10111010 10100011 01101101 00111111
01000001 11000010 00011001 11101100 10111010 10100011 00101111 00011111
01000001 11000100 00011101 11101100 10111010 10100011 00101101 00111111
11000001 11000110 00011101 11101100 10111010 10100011 01101111 00011111
11000001 10110000 00011001 11101100 10111010 10101011 01110101 00111111
11000001 10110010 00011001 11101100 10111010 10101011 00110111 00011111
11000001 10110100 00011101 11101100 10111010 10101011 00110101 00111111
01000001 10110110 00011101 11101100 10111011 10011011 01110111 00011111
01000001 10110000 00011001 11101100 10111011 10010011 01111101 00111111
01000001 10110010 00011001 11101100 10111011 10010011 00111111 00011111
01000001 10110100 00011101 11101100 10111011 10010011 00111101 00111111
11000001 10110110 00011101 11101100 10111011 10010011 01111111 00011111
11000001 10100000 00011001 11101100 10111011 10011011 01100101 00011111	 <------ 75
11000001 10100010 00011001 11101100 10111011 10011011 01100111 00111111
