
	Raw Data, inversion already applied

addr	0x100				0x110
					
byte	3  5  4 2 6 1 1 1 5 1 1 1	3  5  4 2 6 1 1 1 5 1 1 1
bit	3  2  1 0 7 6 5 4 3 2 1	0	3  2  1 0 7 6 5 4 3 2 1 0

cnt	11 10 9 8 7 6 5 4 3 2 1	0	11 10 9 8 7 6 5 4 3 2 1	0
inv	i  i  i i   i i i i           	i       i   i	i i i i
	-------------------------	-------------------------
	0  0  1 1 1 0 1 1 1 0 0	0	0  0  1 1 1 0 1 1 1 0 0 1
	0  0  1 1 1 0 1 1 1 0 1	0	0  0  1 1 1 0 1 1 1 0 1 1
	0  0  1 1 1 0 1 1 1 1 0	0	0  0  1 1 1 0 1 1 1 1 0 1
	0  0  1 1 1 0 1 1 1 1 1	0	0  0  1 1 1 0 1 1 1 1 1 1
	0  0  1 1 1 1 0 0 0 0 0	0	0  0  1 1 1 1 0 0 0 0 0 1
	0  0  1 1 1 1 0 0 0 0 1	0	0  0  1 1 1 1 0 0 0 0 1 1
	0  0  1 1 1 1 0 0 0 1 0	0	0  0  1 1 1 1 0 0 0 1 0 1
	0  0  1 1 1 1 0 0 0 1 1	0	0  0  1 1 1 1 0 0 0 1 1 1
	0  0  1 1 1 1 0 0 1 0 0	0	0  0  1 1 1 1 0 0 1 0 0 1
	0  0  1 1 1 1 0 0 1 0 1	0	0  0  1 1 1 1 0 0 1 0 1 1
	0  0  1 1 1 1 0 0 1 1 0	0	0  0  1 1 1 1 0 0 1 1 0 1
	0  0  1 1 1 1 0 0 1 1 1	0	0  0  1 1 1 1 0 0 1 1 1 1
	0  0  1 1 1 1 0 1 0 0 0	0	0  0  1 1 1 1 0 1 0 0 0 1
	0  0  1 1 1 1 0 1 0 0 1	0	0  0  1 1 1 1 0 1 0 0 1 1
	0  0  1 1 1 1 0 1 0 1 0	0	0  0  1 1 1 1 0 1 0 1 0 1
	0  0  1 1 1 1 0 1 0 1 1	0	0  0  1 1 1 1 0 1 0 1 1 1
	0  0  1 1 1 1 0 1 1 0 0	0	0  0  1 1 1 1 0 1 1 0 0 1
	0  0  1 1 1 1 0 1 1 0 1	0	0  0  1 1 1 1 0 1 1 0 1 1
	0  0  1 1 1 1 0 1 1 1 0	0	0  0  1 1 1 1 0 1 1 1 0 1
	0  0  1 1 1 1 0 1 1 1 1	0	0  0  1 1 1 1 0 1 1 1 1 1
	0  0  1 1 1 1 1 0 0 0 0	0	0  0  1 1 1 1 1 0 0 0 0 1
	0  0  1 1 1 1 1 0 0 0 1	0	0  0  1 1 1 1 1 0 0 0 1 1
	0  0  1 1 1 1 1 0 0 1 0	0	0  0  1 1 1 1 1 0 0 1 0 1
	0  0  1 1 1 1 1 0 0 1 1	0	0  0  1 1 1 1 1 0 0 1 1 1
	0  0  1 1 1 1 1 0 1 0 0	0	0  0  1 1 1 1 1 0 1 0 0 1
	0  0  1 1 1 1 1 0 1 0 1	0	0  0  1 1 1 1 1 0 1 0 1 1
	0  0  1 1 1 1 1 0 1 1 0	0	0  0  1 1 1 1 1 0 1 1 0 1
	0  0  1 1 1 1 1 0 1 1 1	0	0  0  1 1 1 1 1 0 1 1 1 1
	0  0  1 1 1 1 1 1 0 0 0	0	0  0  1 1 1 1 1 1 0 0 0 1
